year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,%totalvote,winning%,winningparty
2020,ALABAMA,AL,CHILTON,1021,PRESIDENT,DONALD J TRUMP,REPUBLICAN,16085,19310,20210622,TOTAL,0.832988089,0.832988089,REPUBLICAN
2020,ALABAMA,AL,CHOCTAW,1023,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3127,7464,20210622,TOTAL,0.418944266,0.710632252,REPUBLICAN
2020,ALABAMA,AL,CHOCTAW,1023,PRESIDENT,OTHER,OTHER,41,7464,20210622,TOTAL,0.005493033,0.710632252,REPUBLICAN
2020,ALABAMA,AL,CHOCTAW,1023,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4296,7464,20210622,TOTAL,0.575562701,0.710632252,REPUBLICAN
2020,ALABAMA,AL,CLARKE,1025,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,5755,13135,20210622,TOTAL,0.438142368,0.649676181,REPUBLICAN
2020,ALABAMA,AL,CLARKE,1025,PRESIDENT,OTHER,OTHER,56,13135,20210622,TOTAL,0.004263418,0.649676181,REPUBLICAN
2020,ALABAMA,AL,CLARKE,1025,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7324,13135,20210622,TOTAL,0.557594214,0.649676181,REPUBLICAN
2020,ALABAMA,AL,CLAY,1027,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1267,6930,20210622,TOTAL,0.182828283,0.882486072,REPUBLICAN
2020,ALABAMA,AL,CLAY,1027,PRESIDENT,OTHER,OTHER,62,6930,20210622,TOTAL,0.008946609,0.882486072,REPUBLICAN
2020,ALABAMA,AL,CLAY,1027,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5601,6930,20210622,TOTAL,0.808225108,0.882486072,REPUBLICAN
2020,ALABAMA,AL,CLEBURNE,1029,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,675,7227,20210622,TOTAL,0.093399751,0.897191089,REPUBLICAN
2020,ALABAMA,AL,CLEBURNE,1029,PRESIDENT,OTHER,OTHER,68,7227,20210622,TOTAL,0.00940916,0.897191089,REPUBLICAN
2020,ALABAMA,AL,CLEBURNE,1029,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6484,7227,20210622,TOTAL,0.897191089,0.897191089,REPUBLICAN
2020,ALABAMA,AL,COFFEE,1031,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,5076,22275,20210622,TOTAL,0.227878788,0.758653199,REPUBLICAN
2020,ALABAMA,AL,COFFEE,1031,PRESIDENT,OTHER,OTHER,300,22275,20210622,TOTAL,0.013468013,0.758653199,REPUBLICAN
2020,ALABAMA,AL,COFFEE,1031,PRESIDENT,DONALD J TRUMP,REPUBLICAN,16899,22275,20210622,TOTAL,0.758653199,0.758653199,REPUBLICAN
2020,ALABAMA,AL,COLBERT,1033,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,8343,27886,20210622,TOTAL,0.299182385,0.688625117,REPUBLICAN
2020,ALABAMA,AL,COLBERT,1033,PRESIDENT,OTHER,OTHER,340,27886,20210622,TOTAL,0.012192498,0.688625117,REPUBLICAN
2020,ALABAMA,AL,COLBERT,1033,PRESIDENT,DONALD J TRUMP,REPUBLICAN,19203,27886,20210622,TOTAL,0.688625117,0.688625117,REPUBLICAN
2020,ALABAMA,AL,CONECUH,1035,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2966,6441,20210622,TOTAL,0.460487502,0.53438907,REPUBLICAN
2020,ALABAMA,AL,CONECUH,1035,PRESIDENT,OTHER,OTHER,33,6441,20210622,TOTAL,0.005123428,0.53438907,REPUBLICAN
2020,ALABAMA,AL,CONECUH,1035,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3442,6441,20210622,TOTAL,0.53438907,0.53438907,REPUBLICAN
2020,ALABAMA,AL,COOSA,1037,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1796,5479,20210622,TOTAL,0.327797043,0.662712174,REPUBLICAN
2020,ALABAMA,AL,COOSA,1037,PRESIDENT,OTHER,OTHER,52,5479,20210622,TOTAL,0.009490783,0.662712174,REPUBLICAN
2020,ALABAMA,AL,COOSA,1037,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3631,5479,20210622,TOTAL,0.662712174,0.662712174,REPUBLICAN
2020,ALABAMA,AL,COVINGTON,1039,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2721,17430,20210622,TOTAL,0.156110155,0.836833046,REPUBLICAN
2020,ALABAMA,AL,COVINGTON,1039,PRESIDENT,OTHER,OTHER,123,17430,20210622,TOTAL,0.007056799,0.836833046,REPUBLICAN
2020,ALABAMA,AL,COVINGTON,1039,PRESIDENT,DONALD J TRUMP,REPUBLICAN,14586,17430,20210622,TOTAL,0.836833046,0.836833046,REPUBLICAN
2020,ALABAMA,AL,CRENSHAW,1041,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1700,6617,20210622,TOTAL,0.256914009,0.735076319,REPUBLICAN
2020,ALABAMA,AL,CRENSHAW,1041,PRESIDENT,OTHER,OTHER,53,6617,20210622,TOTAL,0.008009672,0.735076319,REPUBLICAN
2020,ALABAMA,AL,CRENSHAW,1041,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4864,6617,20210622,TOTAL,0.735076319,0.735076319,REPUBLICAN
2020,ALABAMA,AL,CULLMAN,1043,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4478,41851,20210622,TOTAL,0.106998638,0.881221476,REPUBLICAN
2020,ALABAMA,AL,CULLMAN,1043,PRESIDENT,OTHER,OTHER,493,41851,20210622,TOTAL,0.011779886,0.881221476,REPUBLICAN
2020,ALABAMA,AL,CULLMAN,1043,PRESIDENT,DONALD J TRUMP,REPUBLICAN,36880,41851,20210622,TOTAL,0.881221476,0.881221476,REPUBLICAN
2020,ALABAMA,AL,DALE,1045,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,5170,19738,20210622,TOTAL,0.2619313,0.724642821,REPUBLICAN
2020,ALABAMA,AL,DALE,1045,PRESIDENT,OTHER,OTHER,265,19738,20210622,TOTAL,0.013425879,0.724642821,REPUBLICAN
2020,ALABAMA,AL,DALE,1045,PRESIDENT,DONALD J TRUMP,REPUBLICAN,14303,19738,20210622,TOTAL,0.724642821,0.724642821,REPUBLICAN
2020,ALABAMA,AL,DALLAS,1047,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,12230,17864,20210622,TOTAL,0.684617107,0.816757157,REPUBLICAN
2020,ALABAMA,AL,DALLAS,1047,PRESIDENT,OTHER,OTHER,110,17864,20210622,TOTAL,0.006157635,0.816757157,REPUBLICAN
2020,ALABAMA,AL,DALLAS,1047,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5524,17864,20210622,TOTAL,0.309225258,0.816757157,REPUBLICAN
2020,ALABAMA,AL,DEKALB,1049,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4281,29356,20210622,TOTAL,0.145830495,0.843677613,REPUBLICAN
2020,ALABAMA,AL,DEKALB,1049,PRESIDENT,OTHER,OTHER,308,29356,20210622,TOTAL,0.010491893,0.843677613,REPUBLICAN
2020,ALABAMA,AL,DEKALB,1049,PRESIDENT,DONALD J TRUMP,REPUBLICAN,24767,29356,20210622,TOTAL,0.843677613,0.843677613,REPUBLICAN
2020,ALABAMA,AL,ELMORE,1051,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,10367,41030,20210622,TOTAL,0.252668779,0.735169388,REPUBLICAN
2020,ALABAMA,AL,ELMORE,1051,PRESIDENT,OTHER,OTHER,499,41030,20210622,TOTAL,0.012161833,0.735169388,REPUBLICAN
2020,ALABAMA,AL,ELMORE,1051,PRESIDENT,DONALD J TRUMP,REPUBLICAN,30164,41030,20210622,TOTAL,0.735169388,0.735169388,REPUBLICAN
2020,ALABAMA,AL,ESCAMBIA,1053,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4918,15910,20210622,TOTAL,0.309113765,0.683155248,REPUBLICAN
2020,ALABAMA,AL,ESCAMBIA,1053,PRESIDENT,OTHER,OTHER,123,15910,20210622,TOTAL,0.007730987,0.683155248,REPUBLICAN
2020,ALABAMA,AL,ESCAMBIA,1053,PRESIDENT,DONALD J TRUMP,REPUBLICAN,10869,15910,20210622,TOTAL,0.683155248,0.683155248,REPUBLICAN
2020,ALABAMA,AL,ETOWAH,1055,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,11567,47728,20210622,TOTAL,0.242352497,0.744384847,REPUBLICAN
2020,ALABAMA,AL,ETOWAH,1055,PRESIDENT,OTHER,OTHER,633,47728,20210622,TOTAL,0.013262655,0.744384847,REPUBLICAN
2020,ALABAMA,AL,ETOWAH,1055,PRESIDENT,DONALD J TRUMP,REPUBLICAN,35528,47728,20210622,TOTAL,0.744384847,0.744384847,REPUBLICAN
2020,ALABAMA,AL,FAYETTE,1057,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1395,8766,20210622,TOTAL,0.159137577,0.832762948,REPUBLICAN
2020,ALABAMA,AL,FAYETTE,1057,PRESIDENT,OTHER,OTHER,71,8766,20210622,TOTAL,0.008099475,0.832762948,REPUBLICAN
2020,ALABAMA,AL,FAYETTE,1057,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7300,8766,20210622,TOTAL,0.832762948,0.832762948,REPUBLICAN
2020,ALABAMA,AL,FRANKLIN,1059,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2086,12578,20210622,TOTAL,0.165845126,0.87710084,REPUBLICAN
2020,ALABAMA,AL,FRANKLIN,1059,PRESIDENT,OTHER,OTHER,116,12578,20210622,TOTAL,0.009222452,0.87710084,REPUBLICAN
2020,ALABAMA,AL,FRANKLIN,1059,PRESIDENT,DONALD J TRUMP,REPUBLICAN,10376,12578,20210622,TOTAL,0.824932422,0.87710084,REPUBLICAN
2020,ALABAMA,AL,GENEVA,1061,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1595,12545,20210622,TOTAL,0.127142288,0.864726983,REPUBLICAN
2020,ALABAMA,AL,GENEVA,1061,PRESIDENT,OTHER,OTHER,102,12545,20210622,TOTAL,0.008130729,0.864726983,REPUBLICAN
2020,ALABAMA,AL,GENEVA,1061,PRESIDENT,DONALD J TRUMP,REPUBLICAN,10848,12545,20210622,TOTAL,0.864726983,0.864726983,REPUBLICAN
2020,ALABAMA,AL,GREENE,1063,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3884,4775,20210622,TOTAL,0.813403141,0.824845148,REPUBLICAN
2020,ALABAMA,AL,GREENE,1063,PRESIDENT,OTHER,OTHER,16,4775,20210622,TOTAL,0.003350785,0.824845148,REPUBLICAN
2020,ALABAMA,AL,GREENE,1063,PRESIDENT,DONALD J TRUMP,REPUBLICAN,875,4775,20210622,TOTAL,0.183246073,0.824845148,REPUBLICAN
2020,ALABAMA,AL,HALE,1065,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4663,7900,20210622,TOTAL,0.590253165,0.748696015,REPUBLICAN
2020,ALABAMA,AL,HALE,1065,PRESIDENT,OTHER,OTHER,45,7900,20210622,TOTAL,0.005696203,0.748696015,REPUBLICAN
2020,ALABAMA,AL,HALE,1065,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3192,7900,20210622,TOTAL,0.404050633,0.748696015,REPUBLICAN
2020,ALABAMA,AL,HENRY,1067,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2606,9298,20210622,TOTAL,0.280275328,0.746926298,REPUBLICAN
2020,ALABAMA,AL,HENRY,1067,PRESIDENT,OTHER,OTHER,85,9298,20210622,TOTAL,0.009141751,0.746926298,REPUBLICAN
2020,ALABAMA,AL,HENRY,1067,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6607,9298,20210622,TOTAL,0.710582921,0.746926298,REPUBLICAN
2020,ALABAMA,AL,HOUSTON,1069,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,12917,46173,20210622,TOTAL,0.279752236,0.748039839,REPUBLICAN
2020,ALABAMA,AL,HOUSTON,1069,PRESIDENT,OTHER,OTHER,638,46173,20210622,TOTAL,0.013817599,0.748039839,REPUBLICAN
2020,ALABAMA,AL,HOUSTON,1069,PRESIDENT,DONALD J TRUMP,REPUBLICAN,32618,46173,20210622,TOTAL,0.706430165,0.748039839,REPUBLICAN
2020,ALABAMA,AL,JACKSON,1071,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3717,23636,20210622,TOTAL,0.157260112,0.892033372,REPUBLICAN
2020,ALABAMA,AL,JACKSON,1071,PRESIDENT,OTHER,OTHER,249,23636,20210622,TOTAL,0.010534777,0.892033372,REPUBLICAN
2020,ALABAMA,AL,JACKSON,1071,PRESIDENT,DONALD J TRUMP,REPUBLICAN,19670,23636,20210622,TOTAL,0.832205111,0.892033372,REPUBLICAN
2020,ALABAMA,AL,JEFFERSON,1073,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,181688,325848,20210622,TOTAL,0.557585132,0.85366542,REPUBLICAN
2020,ALABAMA,AL,JEFFERSON,1073,PRESIDENT,OTHER,OTHER,5317,325848,20210622,TOTAL,0.016317424,0.85366542,REPUBLICAN
2020,ALABAMA,AL,JEFFERSON,1073,PRESIDENT,DONALD J TRUMP,REPUBLICAN,138843,325848,20210622,TOTAL,0.426097444,0.85366542,REPUBLICAN
2020,ALABAMA,AL,LAMAR,1075,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,978,7193,20210622,TOTAL,0.135965522,0.858334492,REPUBLICAN
2020,ALABAMA,AL,LAMAR,1075,PRESIDENT,OTHER,OTHER,41,7193,20210622,TOTAL,0.005699986,0.858334492,REPUBLICAN
2020,ALABAMA,AL,LAMAR,1075,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6174,7193,20210622,TOTAL,0.858334492,0.858334492,REPUBLICAN
2020,ALABAMA,AL,LAUDERDALE,1077,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,11915,44339,20210622,TOTAL,0.26872505,0.715419834,REPUBLICAN
2020,ALABAMA,AL,LAUDERDALE,1077,PRESIDENT,OTHER,OTHER,703,44339,20210622,TOTAL,0.015855116,0.715419834,REPUBLICAN
2020,ALABAMA,AL,LAUDERDALE,1077,PRESIDENT,DONALD J TRUMP,REPUBLICAN,31721,44339,20210622,TOTAL,0.715419834,0.715419834,REPUBLICAN
2020,ALABAMA,AL,LAWRENCE,1079,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3562,16031,20210622,TOTAL,0.222194498,0.819211454,REPUBLICAN
2020,ALABAMA,AL,LAWRENCE,1079,PRESIDENT,OTHER,OTHER,147,16031,20210622,TOTAL,0.009169734,0.819211454,REPUBLICAN
2020,ALABAMA,AL,LAWRENCE,1079,PRESIDENT,DONALD J TRUMP,REPUBLICAN,12322,16031,20210622,TOTAL,0.768635768,0.819211454,REPUBLICAN
2020,ALABAMA,AL,LEE,1081,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,27860,71449,20210622,TOTAL,0.38992848,0.811959383,REPUBLICAN
2020,ALABAMA,AL,LEE,1081,PRESIDENT,OTHER,OTHER,1368,71449,20210622,TOTAL,0.019146524,0.811959383,REPUBLICAN
2020,ALABAMA,AL,LEE,1081,PRESIDENT,DONALD J TRUMP,REPUBLICAN,42221,71449,20210622,TOTAL,0.590924995,0.811959383,REPUBLICAN
2020,ALABAMA,AL,LIMESTONE,1083,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,13672,49235,20210622,TOTAL,0.277688636,0.746454096,REPUBLICAN
2020,ALABAMA,AL,LIMESTONE,1083,PRESIDENT,OTHER,OTHER,923,49235,20210622,TOTAL,0.018746826,0.746454096,REPUBLICAN
2020,ALABAMA,AL,LIMESTONE,1083,PRESIDENT,DONALD J TRUMP,REPUBLICAN,34640,49235,20210622,TOTAL,0.703564537,0.746454096,REPUBLICAN
2020,ALABAMA,AL,LOWNDES,1085,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4972,6835,20210622,TOTAL,0.727432334,0.727432334,DEMOCRAT
2020,ALABAMA,AL,LOWNDES,1085,PRESIDENT,OTHER,OTHER,27,6835,20210622,TOTAL,0.003950256,0.727432334,DEMOCRAT
2020,ALABAMA,AL,LOWNDES,1085,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1836,6835,20210622,TOTAL,0.26861741,0.727432334,DEMOCRAT
2020,ALABAMA,AL,MACON,1087,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,7108,8723,20210622,TOTAL,0.814857274,0.853378307,REPUBLICAN
2020,ALABAMA,AL,MACON,1087,PRESIDENT,OTHER,OTHER,74,8723,20210622,TOTAL,0.00848332,0.853378307,REPUBLICAN
2020,ALABAMA,AL,MACON,1087,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1541,8723,20210622,TOTAL,0.176659406,0.853378307,REPUBLICAN
2020,ALABAMA,AL,MADISON,1089,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,87286,194767,20210622,TOTAL,0.448156002,0.807610994,REPUBLICAN
2020,ALABAMA,AL,MADISON,1089,PRESIDENT,OTHER,OTHER,4701,194767,20210622,TOTAL,0.024136532,0.807610994,REPUBLICAN
2020,ALABAMA,AL,MADISON,1089,PRESIDENT,DONALD J TRUMP,REPUBLICAN,102780,194767,20210622,TOTAL,0.527707466,0.807610994,REPUBLICAN
2020,ALABAMA,AL,MARENGO,1091,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,5488,10900,20210622,TOTAL,0.503486239,0.503486239,DEMOCRAT
2020,ALABAMA,AL,MARENGO,1091,PRESIDENT,OTHER,OTHER,69,10900,20210622,TOTAL,0.006330275,0.503486239,DEMOCRAT
2020,ALABAMA,AL,MARENGO,1091,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5343,10900,20210622,TOTAL,0.490183486,0.503486239,DEMOCRAT
2020,ALABAMA,AL,MARION,1093,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1463,13807,20210622,TOTAL,0.105960745,0.883971898,REPUBLICAN
2020,ALABAMA,AL,MARION,1093,PRESIDENT,OTHER,OTHER,139,13807,20210622,TOTAL,0.010067357,0.883971898,REPUBLICAN
2020,ALABAMA,AL,MARION,1093,PRESIDENT,DONALD J TRUMP,REPUBLICAN,12205,13807,20210622,TOTAL,0.883971898,0.883971898,REPUBLICAN
2020,ALABAMA,AL,MARSHALL,1095,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,5943,39655,20210622,TOTAL,0.149867608,0.836994074,REPUBLICAN
2020,ALABAMA,AL,MARSHALL,1095,PRESIDENT,OTHER,OTHER,521,39655,20210622,TOTAL,0.013138318,0.836994074,REPUBLICAN
2020,ALABAMA,AL,MARSHALL,1095,PRESIDENT,DONALD J TRUMP,REPUBLICAN,33191,39655,20210622,TOTAL,0.836994074,0.836994074,REPUBLICAN
2020,ALABAMA,AL,MOBILE,1097,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,79474,183164,20210622,TOTAL,0.433895307,0.552745081,REPUBLICAN
2020,ALABAMA,AL,MOBILE,1097,PRESIDENT,OTHER,OTHER,2447,183164,20210622,TOTAL,0.013359612,0.552745081,REPUBLICAN
2020,ALABAMA,AL,MOBILE,1097,PRESIDENT,DONALD J TRUMP,REPUBLICAN,101243,183164,20210622,TOTAL,0.552745081,0.552745081,REPUBLICAN
2020,ALABAMA,AL,MONROE,1099,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4455,10668,20210622,TOTAL,0.417604049,0.868292683,REPUBLICAN
2020,ALABAMA,AL,MONROE,1099,PRESIDENT,OTHER,OTHER,66,10668,20210622,TOTAL,0.006186727,0.868292683,REPUBLICAN
2020,ALABAMA,AL,MONROE,1099,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6147,10668,20210622,TOTAL,0.576209224,0.868292683,REPUBLICAN
2020,ALABAMA,AL,MONTGOMERY,1101,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,64529,99139,20210622,TOTAL,0.650894199,0.773562024,REPUBLICAN
2020,ALABAMA,AL,MONTGOMERY,1101,PRESIDENT,OTHER,OTHER,1299,99139,20210622,TOTAL,0.013102815,0.773562024,REPUBLICAN
2020,ALABAMA,AL,MONTGOMERY,1101,PRESIDENT,DONALD J TRUMP,REPUBLICAN,33311,99139,20210622,TOTAL,0.336002986,0.773562024,REPUBLICAN
2020,ALABAMA,AL,MORGAN,1103,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,13234,53722,20210622,TOTAL,0.246342281,0.842245989,REPUBLICAN
2020,ALABAMA,AL,MORGAN,1103,PRESIDENT,OTHER,OTHER,824,53722,20210622,TOTAL,0.015338223,0.842245989,REPUBLICAN
2020,ALABAMA,AL,MORGAN,1103,PRESIDENT,DONALD J TRUMP,REPUBLICAN,39664,53722,20210622,TOTAL,0.738319497,0.842245989,REPUBLICAN
2020,ALABAMA,AL,PERRY,1105,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3860,5230,20210622,TOTAL,0.738049713,0.810521859,REPUBLICAN
2020,ALABAMA,AL,PERRY,1105,PRESIDENT,OTHER,OTHER,31,5230,20210622,TOTAL,0.005927342,0.810521859,REPUBLICAN
2020,ALABAMA,AL,PERRY,1105,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1339,5230,20210622,TOTAL,0.256022945,0.810521859,REPUBLICAN
2020,ALABAMA,AL,PICKENS,1107,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4022,9668,20210622,TOTAL,0.416011585,0.578609847,REPUBLICAN
2020,ALABAMA,AL,PICKENS,1107,PRESIDENT,OTHER,OTHER,52,9668,20210622,TOTAL,0.005378568,0.578609847,REPUBLICAN
2020,ALABAMA,AL,PICKENS,1107,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5594,9668,20210622,TOTAL,0.578609847,0.578609847,REPUBLICAN
2020,ALABAMA,AL,PIKE,1109,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,5636,13841,20210622,TOTAL,0.407196012,0.799392936,REPUBLICAN
